Id,Sales
1,4791.547
2,5747.5835
3,7951.4287
4,12228.214
5,5245.158
6,5534.961
7,14710.265
8,7644.96
9,8080.5444
10,6794.8804
11,10118.702
12,8982.498
13,7908.777
14,6673.174
15,8315.63
16,9796.881
17,8561.277
18,9166.228
19,7923.2056
20,9791.248
21,7786.2734
22,6239.409
23,6661.479
24,13065.862
25,12235.073
26,7651.248
27,12037.205
28,6315.8057
29,8866.464
30,4525.769
31,6874.8306
32,5805.3867
33,9792.415
34,10127.063
35,10988.265
36,11864.175
37,8563.972
38,6886.0728
39,7635.319
40,5173.2603
41,7005.3774
42,12718.682
43,7767.344
44,5968.81
45,5860.008
46,6489.546
47,8813.397
48,4045.115
49,9687.877
50,5360.121
51,8589.986
52,8100.2915
53,6838.547
54,10156.634
55,5966.4595
56,9311.079
57,11394.707
58,7907.9624
59,6480.929
60,9204.029
61,5998.7974
62,7531.246
63,9786.449
64,13414.29
65,6947.7314
66,7692.4595
67,9659.967
68,10222.924
69,11623.701
70,7555.7954
71,10887.616
72,5126.5205
73,5378.143
74,7549.4487
75,8252.397
76,12459.428
77,9644.1875
78,4958.986
79,6758.954
80,9017.323
81,8635.298
82,11607.15
83,3939.941
84,14495.91
85,7592.762
86,5724.7896
87,5967.011
88,8178.693
89,7273.3647
90,11358.357
91,5347.3286
92,8282.914
93,7451.7188
94,7828.795
95,8841.755
96,6340.2627
97,8339.395
98,6310.4526
99,5764.2515
100,9004.655
101,9657.046
102,10897.537
103,5160.0034
104,10521.333
105,5392.0425
106,10260.815
107,8449.281
108,13744.571
109,8522.123
110,6282.8433
111,8316.852
112,6941.6973
113,7522.932
114,5810.8765
115,9600.97
116,7990.819
117,4312.1875
118,9547.304
119,6826.2173
120,9080.751
121,5227.632
122,12456.647
123,10444.876
124,6970.5723
125,16576.035
126,8348.101
127,7009.0938
128,9356.927
129,11177.332
130,5260.0234
131,5271.938
132,8540.887
133,8285.04
134,4977.596
135,7192.045
136,8502.808
137,11056.345
138,9598.79
139,7365.8403
140,9061.769
141,8197.554
142,5334.5874
143,8321.064
144,8804.08
145,10286.939
146,9394.404
147,10116.251
148,9116.4
149,7453.4175
150,10439.866
151,9815.222
152,6442.292
153,7246.062
154,9830.82
155,8248.353
156,8727.705
157,11031.518
158,10508.406
159,9222.413
160,7207.297
161,8925.349
162,9785.282
163,7297.4844
164,8131.0527
165,4893.707
166,6995.956
167,13363.365
168,10213.363
169,7177.613
170,5802.862
171,8608.219
172,7784.759
173,9923.301
174,6899.096
175,6710.8716
176,6526.2314
177,4736.787
178,12310.185
179,9861.792
180,8617.707
181,8172.416
182,6751.8213
183,6250.303
184,7490.3193
185,8403.246
186,4766.1157
187,8288.375
188,8756.813
189,10045.994
190,9406.113
191,8236.159
192,15616.4795
193,6157.478
194,6488.958
195,12351.017
196,6192.777
197,9163.15
198,4286.641
199,10092.61
200,9696.391
201,6836.258
202,7699.8516
203,7955.396
204,7072.3535
205,7905.9863
206,10050.326
207,13374.471
208,3912.3315
209,8817.383
210,4382.8477
211,15550.223
212,5360.709
213,9832.34
214,10995.404
215,9559.859
216,9152.398
217,6101.8594
218,6104.543
219,3541.4373
220,5506.6143
221,7285.1123
222,5923.466
223,9485.131
224,8814.667
225,6946.2476
226,7799.9653
227,6896.221
228,9650.877
229,11768.797
230,9976.768
231,7925.866
232,5483.939
233,11530.949
234,12136.251
235,6922.635
236,9551.693
237,4784.4907
238,10127.421
239,5955.3267
240,5224.985
241,7889.828
242,5206.15
243,10158.513
244,6760.5015
245,10703.663
246,9465.755
247,11277.055
248,10824.033
249,6746.8257
250,12090.154
251,21909.252
252,13238.665
253,8304.098
254,3962.4048
255,7624.5557
256,10227.605
257,6794.5303
258,7115.929
259,15963.191
260,6583.8335
261,13806.558
262,25158.691
263,5080.44
264,7909.0186
265,6705.964
266,4343.447
267,10669.549
268,6564.4014
269,11208.386
270,11465.392
271,10148.81
272,8224.6045
273,8458.521
274,6469.972
275,8300.162
276,4884.72
277,8965.226
278,9081.418
279,11365.282
280,7253.1357
281,7218.7793
282,4584.4087
283,8967.107
284,6828.4375
285,6274.3936
286,5308.831
287,9217.093
288,6679.682
289,7217.2095
290,7761.5156
291,9877.861
292,1.0
293,7227.7427
294,7233.432
295,7318.0044
296,8427.551
297,8203.968
298,9894.797
299,9943.917
300,9413.158
301,6318.047
302,4722.085
303,8473.791
